epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2239,2.08638,5.96174,0,3.47678,2.02055,0.9502,0.75,0.85371,0.44839,0,0,0,0,1.58323,5.94065,0,1.61199,1.79939,0.0004,0.0004,0.0004
2,30.838,1.31117,4.72957,0,1.08433,1.31246,0.97578,0.8757,0.96785,0.66224,0.46743,0.32609,0.1833,0.02232,1.1395,4.78996,0,0.79941,1.39733,0.000811882,0.000811882,0.000811882
3,39.5385,1.22839,3.82436,0,0.92882,1.27743,0.69811,0.25,0.35071,0.12781,0.66775,0.23913,0.25215,0.0432,1.95423,4.92428,0,2.44876,2.15318,0.00121545,0.00121545,0.00121545
4,51.4717,1.22428,3.27627,0,0.90352,1.27218,0.86242,0.88579,0.9059,0.4292,0.6278,0.64171,0.57139,0.09067,1.63009,4.16416,0,1.09104,1.86354,0.0016107,0.0016107,0.0016107
5,59.8947,1.21118,2.92928,0,0.88287,1.25332,0.93527,0.98913,0.98504,0.54468,0.93955,0.97826,0.97466,0.42337,1.47612,2.15187,0,1.20612,1.68301,0.0019208,0.0019208,0.0019208
6,71.1652,1.21613,2.41505,0,0.87482,1.24471,0.98375,0.65826,0.86771,0.54834,0.89429,0.73565,0.85392,0.39562,1.33783,2.41456,0,1.10141,1.51786,0.001901,0.001901,0.001901
7,80.1391,1.16553,2.11321,0,0.80992,1.2154,0.95717,0.98913,0.99147,0.51214,0.88004,0.91304,0.87647,0.31866,1.65291,2.54904,0,0.81512,1.77008,0.0018812,0.0018812,0.0018812
8,91.3713,1.18186,1.88283,0,0.81678,1.24344,0.40986,0.8455,0.54713,0.29941,0.40986,0.8455,0.553,0.30597,1.41139,1.55379,0,1.81061,1.61043,0.0018614,0.0018614,0.0018614
9,101.77,1.13886,1.52357,0,0.77715,1.2009,0.98181,0.98913,0.99403,0.675,0.97522,0.97826,0.98432,0.68074,1.20771,1.07943,0,0.81139,1.42825,0.0018416,0.0018416,0.0018416
10,110.661,1.115,1.42939,0,0.79764,1.22573,0.95737,0.97642,0.98924,0.60577,0.95737,0.97642,0.98982,0.80818,1.36626,0.89583,0,0.77087,1.57339,0.0018218,0.0018218,0.0018218
