epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1656,2.15375,5.6688,0,3.947,2.17337,0.68198,0.93238,0.8635,0.44993,0.0001,0.01087,7e-05,1e-05,1.45561,5.28875,0,1.32941,1.58504,0.0004,0.0004,0.0004
2,42.5617,1.27733,4.362,0,0.90374,1.25902,0.91326,0.9156,0.97357,0.55301,0.24475,0.29348,0.09428,0.01108,1.39698,4.39347,0,1.11889,1.78075,0.000811882,0.000811882,0.000811882
3,57.1418,1.28144,3.59314,0,0.88918,1.27727,0.14757,0.64352,0.14141,0.08297,0.14138,0.6087,0.12719,0.02855,1.46632,3.2638,0,5.86732,1.77501,0.00121545,0.00121545,0.00121545
4,69.6961,1.2525,2.65391,0,0.82413,1.28957,0.30893,0.73913,0.35317,0.16064,0.30893,0.73913,0.35379,0.21035,1.58896,2.00353,0,4.47181,2.09929,0.0016107,0.0016107,0.0016107
5,78.6083,1.22488,2.15257,0,0.83666,1.26037,0.17078,0.73913,0.18549,0.08609,0.16827,0.72826,0.18022,0.08622,1.57055,2.3199,0,5.98844,1.88269,0.0019208,0.0019208,0.0019208
6,90.4952,1.22786,1.73076,0,0.84054,1.25487,0.75424,0.83398,0.84498,0.4257,0.7339,0.80945,0.81587,0.67798,1.33874,1.00017,0,3.24159,1.60859,0.001901,0.001901,0.001901
7,100.761,1.20096,1.53791,0,0.81246,1.23593,0.90921,0.91304,0.95935,0.58764,0.90022,0.90217,0.94541,0.77512,1.25255,0.9855,0,1.21134,1.437,0.0018812,0.0018812,0.0018812
8,111.543,1.2113,1.19433,0,0.82665,1.25998,0.86873,0.69565,0.77243,0.46418,0.8525,0.68478,0.76513,0.60908,1.34251,0.90784,0,2.7241,1.51547,0.0018614,0.0018614,0.0018614
9,123.837,1.17336,1.1621,0,0.80209,1.22128,0.97357,0.80077,0.92775,0.60459,0.97357,0.80077,0.92775,0.61315,1.14484,0.83514,0,1.87024,1.40702,0.0018416,0.0018416,0.0018416
10,132.376,1.15805,1.01503,0,0.79734,1.25063,0.95487,0.69,0.80697,0.54045,0.95487,0.69,0.81804,0.77216,1.32281,0.68217,0,1.37742,1.47808,0.0018218,0.0018218,0.0018218
11,144.665,1.07341,0.82332,0,0.71594,1.17509,0.98381,0.70652,0.91591,0.64398,0.98381,0.70652,0.92556,0.90596,1.1716,0.30045,0,0.94202,1.47947,0.001802,0.001802,0.001802
12,153.458,1.1209,0.84581,0,0.74492,1.19783,0.64714,0.95652,0.71914,0.47062,0.64714,0.95652,0.71914,0.69564,1.20836,0.30114,0,2.0484,1.39238,0.0017822,0.0017822,0.0017822
13,165.414,1.03703,0.76853,0,0.66937,1.1426,0.9653,0.80435,0.95032,0.61215,0.9653,0.80435,0.95257,0.93731,1.17551,0.32475,0,1.49202,1.38115,0.0017624,0.0017624,0.0017624
14,175.357,1.05294,0.68546,0,0.71297,1.15528,0.91541,0.70577,0.88762,0.60098,0.91541,0.70577,0.88206,0.82521,1.10101,0.4924,0,0.94825,1.29944,0.0017426,0.0017426,0.0017426
